,filename,width,height,class,xmin,ymin,xmax,ymax,xml
0,armas (2).jpg,259,194,Gun,17,28,222,172,Labels/armas (2).xml
1,armas (230).jpg,1067,854,Gun,636,214,748,279,Labels/armas (230).xml
2,armas (231).jpg,425,260,Gun,171,218,218,260,Labels/armas (231).xml
3,armas (232).jpg,434,578,Gun,285,192,328,239,Labels/armas (232).xml
4,armas (233).jpg,1600,974,Gun,454,694,591,787,Labels/armas (233).xml
5,armas (249).jpg,432,324,Gun,195,119,256,168,Labels/armas (249).xml
6,armas (2781).jpg,634,350,Gun,199,161,272,219,Labels/armas (2781).xml
7,armas (2861).jpg,699,311,Gun,1,208,36,284,Labels/armas (2861).xml
8,armas (2861).jpg,699,311,Gun,176,237,209,311,Labels/armas (2861).xml
9,armas (2862).jpg,650,366,Gun,390,184,406,213,Labels/armas (2862).xml
10,armas (2906).jpg,640,360,Gun,346,172,378,202,Labels/armas (2906).xml
11,armas (2922).jpg,640,360,Gun,153,263,179,298,Labels/armas (2922).xml
12,armas (2922).jpg,640,360,Gun,208,272,238,304,Labels/armas (2922).xml
13,armas (2923).jpg,113,168,Gun,41,26,97,63,Labels/armas (2923).xml
14,armas (2924).jpg,531,333,Gun,256,140,292,171,Labels/armas (2924).xml
15,armas (2933).jpg,1300,1031,Gun,394,167,1052,956,Labels/armas (2933).xml
16,armas (2942).jpg,553,422,Gun,212,102,261,147,Labels/armas (2942).xml
17,armas (2946).jpg,640,380,Gun,190,55,204,78,Labels/armas (2946).xml
18,armas (2946).jpg,640,380,Gun,510,34,524,90,Labels/armas (2946).xml
19,armas (2947).jpg,640,380,Gun,230,70,269,98,Labels/armas (2947).xml
20,armas (2947).jpg,640,380,Gun,477,66,487,89,Labels/armas (2947).xml
21,armas (2992).jpg,450,300,Gun,274,80,317,130,Labels/armas (2992).xml
22,armas (5).jpg,1300,866,Gun,365,5,826,600,Labels/armas (5).xml
23,armas (510).jpg,300,168,Gun,174,71,201,94,Labels/armas (510).xml
24,armas (512).jpg,192,203,Gun,63,26,87,44,Labels/armas (512).xml
25,armas (537).jpg,260,194,Gun,50,140,108,171,Labels/armas (537).xml
26,Assault_Rifle_0.jpg,500,126,Guns,2,5,500,120,Labels/Assault_Rifle_0.xml
27,Assault_Rifle_1.jpg,400,238,Guns,21,22,374,215,Labels/Assault_Rifle_1.xml
28,Assault_Rifle_10.jpg,450,144,Guns,2,3,450,140,Labels/Assault_Rifle_10.xml
29,Assault_Rifle_100.jpg,450,132,Guns,2,2,450,132,Labels/Assault_Rifle_100.xml
30,Assault_Rifle_102.jpg,500,334,Guns,28,71,481,304,Labels/Assault_Rifle_102.xml
31,Assault_Rifle_103.jpg,400,137,Guns,7,5,389,133,Labels/Assault_Rifle_103.xml
32,Assault_Rifle_11.jpg,500,165,Guns,2,6,469,145,Labels/Assault_Rifle_11.xml
33,Assault_Rifle_12.jpg,500,158,Guns,3,3,500,158,Labels/Assault_Rifle_12.xml
34,Assault_Rifle_13.jpg,400,117,Guns,4,4,398,113,Labels/Assault_Rifle_13.xml
35,Assault_Rifle_1379_13.jpg,600,338,Gun,216,54,380,256,Labels/Assault_Rifle_1379_13.xml
36,Assault_Rifle_14.jpg,400,126,Gun,2,1,397,124,Labels/Assault_Rifle_14.xml
37,Assault_Rifle_1415_116.jpg,500,333,Gun,92,290,421,320,Labels/Assault_Rifle_1415_116.xml
38,Assault_Rifle_1415_116.jpg,500,333,Gun,133,225,313,244,Labels/Assault_Rifle_1415_116.xml
39,Assault_Rifle_1415_117.jpg,600,250,Gun,1,83,588,210,Labels/Assault_Rifle_1415_117.xml
40,Assault_Rifle_1415_118.jpg,600,250,Gun,244,96,357,135,Labels/Assault_Rifle_1415_118.xml
41,Assault_Rifle_1443_2.jpg,600,337,Gun,271,139,304,184,Labels/Assault_Rifle_1443_2.xml
42,Assault_Rifle_1443_3.jpg,600,337,Gun,349,116,397,188,Labels/Assault_Rifle_1443_3.xml
43,Assault_Rifle_1443_5.jpg,600,336,Gun,221,110,350,194,Labels/Assault_Rifle_1443_5.xml
44,Assault_Rifle_15.jpg,400,120,Gun,4,1,397,120,Labels/Assault_Rifle_15.xml
45,Assault_Rifle_1540_43.jpg,400,177,Gun,109,25,269,128,Labels/Assault_Rifle_1540_43.xml
46,Assault_Rifle_1540_44.jpg,400,269,Gun,57,103,302,255,Labels/Assault_Rifle_1540_44.xml
